%time,field.header.seq,field.header.stamp,field.set_point,field.process_value,field.process_value_dot,field.process_value_filtered,field.process_value_dot_filtered,field.commanded_velocity,field.error,field.time_step,field.command,field.measured_effort,field.friction_compensation,field.position_p,field.position_i,field.position_d,field.position_i_clamp,field.velocity_p,field.velocity_i,field.velocity_d,field.velocity_i_clamp
1354210903209224648,3175,1354210903209224648,9.79717439318e-17,-0.0274925845171,0.0019395196579,-0.0275058261112,0.00412790124862,0.0,0.0275058261112,0.001026673,0.0,1.2475377515,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903219193896,3176,1354210903219193896,9.79717439318e-17,-0.0274672223117,0.00138631552684,-0.027457650983,0.00279638019582,0.0,0.027457650983,0.000998445,0.0,1.24047242697,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903229213686,3177,1354210903229213686,9.79717439318e-17,-0.0274594685561,-0.0141350976848,-0.0274368940509,0.000743607155623,0.0,0.0274368940509,0.001012528,0.0,1.23052798831,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903239209755,3178,1354210903239209755,9.79717439318e-17,-0.0274437768581,0.0317026541012,-0.0274683239129,0.00142162050305,0.0,0.0274683239129,0.001013532,0.0,1.18874758949,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903249215464,3179,1354210903249215464,9.79717439318e-17,-0.0274739299125,0.016935621044,-0.0274834121144,-0.00298902644356,0.0,0.0274834121144,0.000996173,0.0,1.30696252356,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903259195018,3180,1354210903259195018,9.79717439318e-17,-0.0274705977945,0.0322308623297,-0.0275051703536,0.000434142465585,0.0,0.0275051703536,0.000999664,0.0,1.25138562587,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903269176049,3181,1354210903269176049,9.79717439318e-17,-0.0274578300432,-0.0141248941613,-0.0274540714469,0.00109980012341,0.0,0.0274540714469,0.000980276,0.0,1.12935983047,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903279181847,3182,1354210903279181847,9.79717439318e-17,-0.0275154172261,0.0177621520168,-0.0275196827358,-0.00552306696048,0.0,0.0275196827358,0.000959037,0.0,1.10590281157,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903289190441,3183,1354210903289190441,9.79717439318e-17,-0.0275107686802,0.0176437660811,-0.0275054641574,0.000640433483947,0.0,0.0275054641574,0.000966955,0.0,1.08572239881,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903299212498,3184,1354210903299212498,9.79717439318e-17,-0.0275282767827,0.00260585271938,-0.0275305558992,-0.00174945967217,0.0,0.0275305558992,0.001004106,0.0,1.14759412044,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903309214558,3185,1354210903309214558,9.79717439318e-17,-0.0274515589816,0.016442256795,-0.0274636474412,0.00758749745703,0.0,0.0274636474412,0.001018869,20.9239145541,1.12083756361,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903319196459,3186,1354210903319196459,9.79717439318e-17,-0.0274696847503,0.001448412764,-0.0274695275448,-0.00175813347926,0.0,0.0274695275448,0.000987559,0.0,1.09896694834,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903329194352,3187,1354210903329194352,9.79717439318e-17,-0.0273447521014,-0.000482681431452,-0.0273512178379,0.00773138002569,0.0,0.0273512178379,0.000994617,20.9123687082,1.11729364157,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903339230125,3188,1354210903339230125,9.79717439318e-17,-0.0273665693465,-0.0155234437151,-0.0273617002912,-0.00170380721436,0.0,0.0273617002912,0.001010942,0.0,1.05442584532,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903349211726,3189,1354210903349211726,9.79717439318e-17,-0.0274129287505,0.000668248572177,-0.0274136580909,-0.00403803084549,0.0,0.0274136580909,0.001000436,0.0,1.12002732079,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
1354210903359177144,3190,1354210903359177144,9.79717439318e-17,-0.027342016672,0.0145349521807,-0.0273519906337,0.00744956280187,0.0,0.0273519906337,0.000967143,20.811919845,1.10197804854,0.0,-800.0,-40.0,-180.0,4.0,0.0,0.0,0.0,0.0
