%time,field.header.seq,field.header.stamp,field.set_point,field.process_value,field.process_value_dot,field.process_value_filtered,field.process_value_dot_filtered,field.commanded_velocity,field.error,field.time_step,field.command,field.measured_effort,field.friction_compensation,field.position_p,field.position_i,field.position_d,field.position_i_clamp,field.velocity_p,field.velocity_i,field.velocity_d,field.velocity_i_clamp
1354211860465178385,5688,1354211860465178385,9.79717439318e-17,0.00176752613223,0.0104020606093,0.00176823895979,-0.00367833613871,0.0,-0.00176823895979,0.000976883,0.0,-5.01358278164,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860475209184,5689,1354211860475209184,9.79717439318e-17,0.00175667636743,0.0106154864892,0.00172498209565,-0.00103055976843,0.0,-0.00172498209565,0.001013362,0.0,-5.15630404862,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860485223129,5690,1354211860485223129,9.79717439318e-17,0.00178432686926,-0.00531989160181,0.00178582427926,0.00262141581355,0.0,-0.00178582427926,0.001012077,0.0,-4.9262038627,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860495223577,5691,1354211860495223577,9.79717439318e-17,0.00176296507045,-0.0202697295546,0.0017670498007,-0.00203158914005,0.0,-0.0017670498007,0.001019987,0.0,-5.08802027828,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860505230773,5692,1354211860505230773,9.79717439318e-17,0.00169094286214,-0.00343463426811,0.001704080173,-0.00723044385661,0.0,-0.001704080173,0.001007166,0.0,-5.17640846626,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860515230966,5693,1354211860515230966,9.79717439318e-17,0.00168839084132,-0.0187486376358,0.00170178440216,-0.000310907252913,0.0,-0.00170178440216,0.001007335,0.0,-4.99300727348,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860525222891,5694,1354211860525222891,9.79717439318e-17,0.00174280274067,0.0262627450656,0.0017170591805,0.00547313356206,0.0,-0.0017170591805,0.001005903,0.0,-4.83808347809,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860535239839,5695,1354211860535239839,9.79717439318e-17,0.00177047781858,-0.0358039813402,0.0017818034871,0.00287653172177,0.0,-0.0017818034871,0.001017559,0.0,-4.72340941408,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860545239380,5696,1354211860545239380,9.79717439318e-17,0.00179045206401,-0.0208285268663,0.00180750974698,0.00189996614382,0.0,-0.00180750974698,0.001000159,0.0,-4.81235641582,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860555224599,5697,1354211860555224599,9.79717439318e-17,0.00182945813888,0.00912729445137,0.00180473238609,0.00389546694823,0.0,-0.00180473238609,0.000997461,0.0,-4.74058654842,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860565233544,5698,1354211860565233544,9.79717439318e-17,0.00181343289288,-0.00590508270382,0.00183495891165,-0.00168287580092,0.0,-0.00183495891165,0.001011868,0.0,-4.6332606073,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860575205579,5699,1354211860575205579,9.79717439318e-17,0.00175896493263,-0.00479525779065,0.00178719670754,-0.00555814423763,0.0,-0.00178719670754,0.000987935,0.0,-4.70086032717,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860585207987,5700,1354211860585207987,9.79717439318e-17,0.00170981151006,-0.0191954310894,0.00173333664731,-0.00487692807921,0.0,-0.00173333664731,0.00100334,0.0,-4.86216647711,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860595230840,5701,1354211860595230840,9.79717439318e-17,0.00168983535232,-0.0187912446158,0.00169462645042,-0.00189300857798,0.0,-0.00169462645042,0.001030377,0.0,-4.85159759858,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860605217230,5702,1354211860605217230,9.79717439318e-17,0.00172289283633,-0.00408318283088,0.00173436102337,0.0032990740076,0.0,-0.00173436102337,0.000996369,0.0,-4.98230848511,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860615206112,5703,1354211860615206112,9.79717439318e-17,0.00173803636412,-0.0197646048669,0.00174727637564,0.0015832322661,0.0,-0.00174727637564,0.000989894,0.0,-5.05892629609,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860625227109,5704,1354211860625227109,9.79717439318e-17,0.00170937755088,-0.00381625929292,0.00172975526723,-0.00284919018933,0.0,-0.00172975526723,0.000991554,0.0,-5.11925141691,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860635249845,5705,1354211860635249845,9.79717439318e-17,0.00178468054839,-0.00533499766782,0.00177374343415,0.00753270443047,0.0,-0.00177374343415,0.001005133,0.0,-5.02074404557,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860645225378,5706,1354211860645225378,9.79717439318e-17,0.00176434589139,-0.0203019038561,0.00177739643005,-0.00209934435167,0.0,-0.00177739643005,0.000986572,0.0,-4.6354002761,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860655177701,5707,1354211860655177701,9.79717439318e-17,0.00169206018829,-0.00347593884758,0.00170528943885,-0.0072137603506,0.0,-0.00170528943885,0.00098484,0.0,-4.59413498274,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860665216473,5708,1354211860665216473,9.79717439318e-17,0.00167621042364,0.0122153669614,0.0016699104226,-0.00152538113746,0.0,-0.0016699104226,0.001003771,0.0,-4.74442401813,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860675198823,5709,1354211860675198823,9.79717439318e-17,0.00162609603678,0.0132438766874,0.00161126973318,-0.00512453138995,0.0,-0.00161126973318,0.001013099,0.0,-4.97166814562,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860685200970,5710,1354211860685200970,9.79717439318e-17,0.00155907684307,0.0299695877124,0.00153172635596,-0.00673708059178,0.0,-0.00153172635596,0.001016765,0.0,-5.08871184133,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860695237400,5711,1354211860695237400,9.79717439318e-17,0.00168082066351,0.0121454658081,0.00164052153529,0.0121760128877,0.0,-0.00164052153529,0.001011242,0.0,-5.12054769899,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860705196731,5712,1354211860705196731,9.79717439318e-17,0.00173505696686,0.0110545403551,0.00171886800529,0.00540772441784,0.0,-0.00171886800529,0.000970102,0.0,-4.93725188951,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860715220923,5713,1354211860715220923,9.79717439318e-17,0.00174884687872,-0.0199572486834,0.00176149616276,0.00124796242191,0.0,-0.00176149616276,0.00099692,0.0,-4.5888598356,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860725207700,5714,1354211860725207700,9.79717439318e-17,0.00181844972168,0.00939388480567,0.00179334205688,0.00708469460668,0.0,-0.00179334205688,0.000983733,0.0,-4.73857439455,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860735257618,5715,1354211860735257618,9.79717439318e-17,0.0018102894734,0.00959009820186,0.00180599678976,-0.0010013321497,0.0,-0.00180599678976,0.001025639,0.0,-4.75739786087,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860745210980,5716,1354211860745210980,9.79717439318e-17,0.00186186867966,0.0239289535918,0.00180444881214,0.00517874303682,0.0,-0.00180444881214,0.000960864,0.0,-4.83680943174,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860755180990,5717,1354211860755180990,9.79717439318e-17,0.00185759981226,0.0393857093989,0.00183369132873,-0.000365937032516,0.0,-0.00183369132873,0.000981904,0.0,-4.97603099185,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860765210343,5718,1354211860765210343,9.79717439318e-17,0.00186452509226,-0.00690692220969,0.00186040547194,0.000863233038697,0.0,-0.00186040547194,0.001049007,0.0,-4.85476707608,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860775197131,5719,1354211860775197131,9.79717439318e-17,0.00181316538489,0.00949516735729,0.00181583248618,-0.00495102915636,0.0,-0.00181583248618,0.000983104,0.0,-4.55728155908,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860785214693,5720,1354211860785214693,9.79717439318e-17,0.00180548748099,0.00966051136681,0.00179816223613,-0.000825862484433,0.0,-0.00179816223613,0.000969418,0.0,-4.10921255842,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860795238499,5721,1354211860795238499,9.79717439318e-17,0.00180997755386,-0.00582797311301,0.00180632388636,0.000522575059105,0.0,-0.00180632388636,0.001012974,0.0,-4.05961916227,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860805161802,5722,1354211860805161802,9.79717439318e-17,0.00175668407295,0.0259919134076,0.00176900808734,-0.00533872840538,0.0,-0.00176900808734,0.000997429,0.0,-3.79745510796,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860815168697,5723,1354211860815168697,9.79717439318e-17,0.00172684428092,-0.0195368959934,0.00174483736177,-0.00288473295364,0.0,-0.00174483736177,0.00100793,0.0,-4.16282631676,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860825164448,5724,1354211860825164448,9.79717439318e-17,0.00174556998019,0.0108339425502,0.00173915181106,0.00192034592307,0.0,-0.00173915181106,0.00097472,0.0,-4.46034444036,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860835185399,5725,1354211860835185399,9.79717439318e-17,0.00167483064179,-0.018474591468,0.00170293518875,-0.00716941384817,0.0,-0.00170293518875,0.001000229,0.0,-3.92630942101,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
1354211860845157981,5726,1354211860845157981,9.79717439318e-17,0.00162426101301,0.0132987086084,0.00161248890266,-0.00515406354994,0.0,-0.00161248890266,0.001007887,0.0,-4.06706087604,0.0,-3200.0,-200.0,-800.0,32.0,0.0,0.0,0.0,0.0
