%time,field.header.seq,field.header.stamp,field.set_point,field.process_value,field.process_value_dot,field.process_value_filtered,field.process_value_dot_filtered,field.commanded_velocity,field.error,field.time_step,field.command,field.measured_effort,field.friction_compensation,field.position_p,field.position_i,field.position_d,field.position_i_clamp,field.velocity_p,field.velocity_i,field.velocity_d,field.velocity_i_clamp
1354825672489194938,574,1354825672489194938,0.00328083186838,0.00456221316383,7.53345571285e-05,0.00456833490934,-0.000173117419851,0.0,-0.00128750304096,0.000986929,0.0,3.71265747469,0.0,-5200.0,-200.0,-500.0,32.0,0.0,0.0,0.0,0.0
1354825672499197684,575,1354825672499197684,0.00328083186838,0.00453628231963,0.000603854720616,0.0045352240508,-0.00257836904489,0.0,-0.00125439218242,0.000999848,0.0,3.76479538963,0.0,-5200.0,-200.0,-500.0,32.0,0.0,0.0,0.0,0.0
1354825672509196960,576,1354825672509196960,0.00328083186838,0.00447427103486,0.00186320816045,0.00448611282135,-0.00623464581932,0.0,-0.00120528095297,0.000999758,0.0,3.71229130867,0.0,-5200.0,-200.0,-500.0,32.0,0.0,0.0,0.0,0.0
1354825672519225130,577,1354825672519225130,0.00328083186838,0.00448728712318,0.00162640012089,0.00449328073127,0.00116010647719,0.0,-0.0012124488629,0.001028388,0.0,3.62640069674,0.0,-5200.0,-200.0,-500.0,32.0,0.0,0.0,0.0,0.0
1354825672529206106,578,1354825672529206106,0.00328083186838,0.00448618671308,-0.0137282648139,0.00451153800916,-9.53167852728e-05,0.0,-0.00123070614078,0.001036117,0.0,3.80003128778,0.0,-5200.0,-200.0,-500.0,32.0,0.0,0.0,0.0,0.0
1354825672539198314,579,1354825672539198314,0.00328083186838,0.00458512965038,0.0150239082578,0.00457012966766,0.00981904845197,0.0,-0.00128929779928,0.001002015,0.0,4.01743140086,0.0,-5200.0,-200.0,-500.0,32.0,0.0,0.0,0.0,0.0
1354825672549225857,580,1354825672549225857,0.00328083186838,0.00448941937463,0.01696564305,0.00448577220862,-0.00959418258657,0.0,-0.00120494034024,0.001028045,0.0,4.0046890861,0.0,-5200.0,-200.0,-500.0,32.0,0.0,0.0,0.0,0.0
1354825672559231222,581,1354825672559231222,0.00328083186838,0.00446045837057,0.00216859770218,0.00446533224848,-0.0028172129482,0.0,-0.0011845003801,0.001026844,0.0,3.69147615749,0.0,-5200.0,-200.0,-500.0,32.0,0.0,0.0,0.0,0.0
1354825672569218054,582,1354825672569218054,0.00328083186838,0.00447718634272,0.00182066652091,0.00447342068412,0.00173737140985,0.0,-0.00119258881574,0.00101642,0.0,3.38514118905,0.0,-5200.0,-200.0,-500.0,32.0,0.0,0.0,0.0,0.0
1354825672579184361,583,1354825672579184361,0.00328083186838,0.00455010628848,0.015685028751,0.00452848970082,0.00751367125549,0.0,-0.00124765783244,0.000956607,0.0,3.13480440083,0.0,-5200.0,-200.0,-500.0,32.0,0.0,0.0,0.0,0.0
1354825672589232176,584,1354825672589232176,0.00328083186838,0.00455491604442,-0.0151768049246,0.00455504124665,0.000571300324497,0.0,-0.00127420937827,0.001030049,0.0,3.05937504261,0.0,-5200.0,-200.0,-500.0,32.0,0.0,0.0,0.0,0.0
1354825672599215558,585,1354825672599215558,0.00328083186838,0.00456906504705,0.0306492662688,0.00457240803099,0.00139793217705,0.0,-0.00129157616261,0.000982542,0.0,3.08750112057,0.0,-5200.0,-200.0,-500.0,32.0,0.0,0.0,0.0,0.0
1354825672609202664,586,1354825672609202664,0.00328083186838,0.00448434722902,-0.013749089191,0.00450582566047,-0.00850233223582,0.0,-0.00122499379209,0.000959725,0.0,3.04579274118,0.0,-5200.0,-200.0,-500.0,32.0,0.0,0.0,0.0,0.0
1354825672619227022,587,1354825672619227022,0.00328083186838,0.00453568380073,-0.0301592702709,0.00455742817625,0.00515923363913,0.0,-0.00127659630787,0.001027942,0.0,2.88888604852,0.0,-5200.0,-200.0,-500.0,32.0,0.0,0.0,0.0,0.0
1354825672629209424,588,1354825672629209424,0.00328083186838,0.00452888847844,0.0160990008792,0.00453236188448,-0.000886070445289,0.0,-0.0012515300161,0.001034524,0.0,2.78946859245,0.0,-5200.0,-200.0,-500.0,32.0,0.0,0.0,0.0,0.0
