%time,field.header.seq,field.header.stamp,field.set_point,field.process_value,field.process_value_dot,field.process_value_filtered,field.process_value_dot_filtered,field.commanded_velocity,field.error,field.time_step,field.command,field.measured_effort,field.friction_compensation,field.position_p,field.position_i,field.position_d,field.position_i_clamp,field.velocity_p,field.velocity_i,field.velocity_d,field.velocity_i_clamp
1354825743656197917,1444,1354825743656197917,4.1918139409e-05,-0.00105846355194,0.00600895954672,-0.00108951515495,0.0101013771254,0.0,0.00113143329436,0.00100089,0.0,-0.720211183532,0.0,-6200.0,-300.0,-600.0,32.0,0.0,0.0,0.0,0.0
1354825743666203287,1445,1354825743666203287,4.1918139409e-05,-0.00113910678878,-0.0231243335157,-0.00112591057302,-0.00800899350876,0.0,0.00116782871243,0.001008345,0.0,-0.782936009426,0.0,-6200.0,-300.0,-600.0,32.0,0.0,0.0,0.0,0.0
1354825743676196679,1446,1354825743676196679,4.1918139409e-05,-0.001123342409,0.0226643303705,-0.0011385731355,0.00159297743773,0.0,0.0011804912749,0.001001396,0.0,-0.858585922092,0.0,-6200.0,-300.0,-600.0,32.0,0.0,0.0,0.0,0.0
1354825743686197989,1447,1354825743686197989,4.1918139409e-05,-0.00108409680366,0.00650891515509,-0.00109741498526,0.00383662223214,0.0,0.00113933312467,0.00100043,0.0,-0.84342138689,0.0,-6200.0,-300.0,-600.0,32.0,0.0,0.0,0.0,0.0
1354825743696200315,1448,1354825743696200315,4.1918139409e-05,-0.00112262198037,0.00728936405882,-0.00111263466521,-0.00388872811461,0.0,0.00115455280462,0.001003622,0.0,-0.695537279114,0.0,-6200.0,-300.0,-600.0,32.0,0.0,0.0,0.0,0.0
1354825743706203931,1449,1354825743706203931,4.1918139409e-05,-0.00111505162589,0.00718029388262,-0.00108890318658,0.000519181235709,0.0,0.00113082132599,0.000999627,0.0,-0.572726037545,0.0,-6200.0,-300.0,-600.0,32.0,0.0,0.0,0.0,0.0
1354825743716187953,1450,1354825743716187953,4.1918139409e-05,-0.00111795459646,-0.00814240372209,-0.00112001093746,-0.000191878092688,0.0,0.00116192907687,0.000998587,0.0,-0.610765605258,0.0,-6200.0,-300.0,-600.0,32.0,0.0,0.0,0.0,0.0
1354825743726195341,1451,1354825743726195341,4.1918139409e-05,-0.00105635183772,0.00597820284128,-0.00107438487351,0.00634685264603,0.0,0.00111630301292,0.000989532,0.0,-0.573192735147,0.0,-6200.0,-300.0,-600.0,32.0,0.0,0.0,0.0,0.0
1354825743736182465,1452,1354825743736182465,4.1918139409e-05,-0.001071290675,0.00630817258102,-0.00107159400548,-0.00159484177843,0.0,0.00111351214489,0.000984667,0.0,-0.570527312586,0.0,-6200.0,-300.0,-600.0,32.0,0.0,0.0,0.0,0.0
1354825743746196765,1453,1354825743746196765,4.1918139409e-05,-0.00114043679416,-0.0229837910275,-0.00111840924576,-0.00720634580635,0.0,0.00116032738517,0.000999563,0.0,-0.652515861993,0.0,-6200.0,-300.0,-600.0,32.0,0.0,0.0,0.0,0.0
1354825743756201164,1454,1354825743756201164,4.1918139409e-05,-0.00109191495379,-0.023980383899,-0.00106140193167,0.00489906831892,0.0,0.00110332007108,0.001004266,0.0,-0.677496657651,0.0,-6200.0,-300.0,-600.0,32.0,0.0,0.0,0.0,0.0
